ticker,year,scope1_t,n_facilities,match_confidence,revenue_musd,co2_intensity,company,gics_sector,gics_sub_industry
LLY,2022,40251.998,1,0.95,28541.4,1.4103021575676036,Lilly (Eli),Health Care,Pharmaceuticals
LLY,2023,47574.076,1,0.95,34124.0,1.3941529715156489,Lilly (Eli),Health Care,Pharmaceuticals
LMT,2018,122634.91199999998,4,1.0,53762.0,2.2810704958892893,Lockheed Martin,Industrials,Aerospace & Defense
LMT,2019,114740.70999999999,4,1.0,59812.0,1.918356015515281,Lockheed Martin,Industrials,Aerospace & Defense
LMT,2020,114075.418,4,1.0,65398.0,1.7443257897795041,Lockheed Martin,Industrials,Aerospace & Defense
LMT,2021,118084.702,4,1.0,67044.0,1.7613015631525566,Lockheed Martin,Industrials,Aerospace & Defense
LMT,2022,102743.324,4,1.0,65984.0,1.5570945077594567,Lockheed Martin,Industrials,Aerospace & Defense
LMT,2023,95794.13399999999,4,1.0,67571.0,1.417681164996818,Lockheed Martin,Industrials,Aerospace & Defense
LNT,2018,16621621.998077,24,1.0,3534.0,4703.345217339275,Alliant Energy,Utilities,Electric Utilities
LNT,2019,13692281.4247432,24,1.0,3648.0,3753.3666186247806,Alliant Energy,Utilities,Electric Utilities
LNT,2020,11991359.4140618,24,1.0,3416.0,3510.35111652863,Alliant Energy,Utilities,Electric Utilities
LNT,2021,15348803.4540928,24,1.0,3669.0,4183.375157833961,Alliant Energy,Utilities,Electric Utilities
LNT,2022,13052082.4508956,24,1.0,4205.0,3103.9435079418786,Alliant Energy,Utilities,Electric Utilities
LNT,2023,13023321.5224172,24,1.0,4027.0,3234.0008747000747,Alliant Energy,Utilities,Electric Utilities
LYB,2018,7830312.772000001,13,0.9655172413793103,38126.0,205.3798660231863,LyondellBasell,Materials,Specialty Chemicals
LYB,2019,9110668.026,14,0.9832512315270936,33908.0,268.687862038457,LyondellBasell,Materials,Specialty Chemicals
LYB,2020,7760790.401000001,15,0.984367816091954,26995.0,287.48992039266534,LyondellBasell,Materials,Specialty Chemicals
LYB,2021,8339427.767,15,0.984367816091954,46173.0,180.61264736967493,LyondellBasell,Materials,Specialty Chemicals
LYB,2022,8261408.4459999995,15,0.984367816091954,50451.0,163.75113369407939,LyondellBasell,Materials,Specialty Chemicals
LYB,2023,8523906.445999999,15,0.984367816091954,33336.0,255.6967376409887,LyondellBasell,Materials,Specialty Chemicals
