ticker,company,gics_sector,gics_sub_industry,years_observed,year_last,scope1_t,revenue_musd,co2_intensity,n_facilities,match_confidence,intensity_cagr,absolute_cagr,base_year_ratio,intensity_illusion,illusion_gap
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,6,2023,10549462.589899998,4695.991,2246.4827104438655,11,0.9969696969696971,-0.07501415008348755,-0.02280636044841211,1.0446777880943479,False,0.05220778963507544
PPG,PPG Industries,Materials,Specialty Chemicals,6,2023,198602.998,16242.0,12.227742765669252,3,1.0,0.37176370289334226,0.39389946275643095,0.599516210553725,False,0.02213575986308869
PPL,PPL Corporation,Utilities,Electric Utilities,6,2023,26919146.4032,8290.0,3247.182919565742,10,1.0,2.2718154865186424,2.4064307868924772,0.0001863018309825212,False,0.13461530037383485
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,6,2023,31338847.363247335,147399.0,212.61234718856528,100,1.0,-0.0859169221375613,0.005345662061730039,1.0196970343423248,True,0.09126258419929134
QCOM,Qualcomm,Information Technology,Semiconductors,6,2023,48566.816000000006,35820.0,1.3558575097710779,2,1.0,-0.15591005485666143,-0.0413697105892461,1.0374831885799087,False,0.11454034426741533
RSG,Republic Services,Industrials,Environmental & Facilities Services,6,2023,10721712.294,14965.0,716.4525421984631,207,1.0,-0.06489623297189795,0.016349419211107774,0.9623828497659674,True,0.08124565218300572
RTX,RTX Corporation,Industrials,Aerospace & Defense,4,2023,172793.29,68920.0,2.507157428903076,4,0.9187500000000001,-0.047448817512139696,0.014733100386569609,0.9500460068452975,True,0.062181917898709305
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,6,2023,0.0,8178.7,0.0,1,0.9523809523809522,-0.023799952304171534,-0.004669227475727511,0.9919299769618852,False,0.019130724828444023
SO,Southern Company,Utilities,Electric Utilities,6,2023,76718005.4067456,25253.0,3037.975900160203,71,1.0,-0.07572566499605682,-0.03732756482817434,1.1954757084304215,False,0.038398100167882476
SRE,Sempra,Utilities,Multi-Utilities,6,2023,5351909.778330039,14848.0,360.446509855202,18,0.8567674291938999,0.0273663705881515,0.12870402869259023,0.561225172886423,False,0.10133765810443873
STLD,Steel Dynamics,Materials,Steel,6,2023,2569896.58,18795.316,136.73069290242316,12,1.0,-0.11415407650464893,0.02913431962203572,0.9960161838478424,True,0.14328839612668465
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,6,2023,5923601.84088,12093.0,489.83724806747705,35,0.9485978835978836,,-0.020702047106505028,0.986867931064557,False,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,6,2023,24116.71997,4772.4,5.053373558377336,2,1.0,-0.1355262170729531,-0.06013697749404301,1.167355967966684,False,0.07538923957891008
